,species_name,coded_property_name,collapsed_data_maximum,collapsed_data_minimum
450,carex_debilis,leaf_width,7mm;3.5mm,2mm;1mm
451,carex_debilis,plant_height,100cm,25cm
452,carex_decomposita,branch_quantity,9,3
453,carex_decomposita,fruit_length,1.7mm,1.4mm
454,carex_decomposita,fruit_width,1mm,0.8mm
455,carex_decomposita,leaf_width,7mm;5.5mm,5.5mm;2.5mm
456,carex_decomposita,plant_height,120cm,5cm
457,carex_deflexa,fruit_length,1.6mm,1.3mm
458,carex_deflexa,fruit_width,1.4mm,1mm
459,carex_deflexa,leaf_width,3.2mm;2.6mm,2.6mm;0.9mm
460,carex_deflexa,plant_height,31cm,5cm
461,carex_densa,branch_quantity,15,10
462,carex_densa,fruit_length,1.7mm,1.5mm
463,carex_densa,fruit_width,1.8mm,1.5mm
464,carex_densa,inflorescence_length,5cm,3cm
465,carex_densa,inflorescence_width,25mm,15mm
466,carex_densa,plant_height,70cm,0cm
467,carex_deweyana,fruit_width,2.2mm;1.5mm,1.8mm;1.2mm
468,carex_deweyana,inflorescence_length,56mm;32mm;56mm,35mm;12mm;12mm
