,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,collapsed_data_value
353,Carex_cryptostachys,plant_height,12cm,30cm,tall
354,Carex_curaica,inflorescence_length,1.5cm;5mm,2cm;7mm,
355,Carex_curaica,leaf_width,3mm,3.5mm,
356,Carex_curaica,plant_height,20cm,38cm,tall
357,Carex_cylindrostachys,inflorescence_size,2cm,3cm,2.5
358,Carex_cylindrostachys,leaf_width,2mm,3mm,
359,Carex_cylindrostachys,nutlet_size,2mm,3mm,
360,Carex_cylindrostachys,plant_height,12cm;1.5mm,20cm;2mm,tall
361,Carex_dahurica,inflorescence_length,4mm,7mm,
362,Carex_dahurica,inflorescence_width,4mm,5mm,
363,Carex_dahurica,leaf_width,0.5mm,1mm,narrow
364,Carex_dahurica,plant_height,10cm,20cm,tall
365,Carex_dailingensis,inflorescence_length,1cm,1.8cm,small
366,Carex_dailingensis,inflorescence_size,5mm;3mm;4mm,6mm;4mm;5mm,
367,Carex_dailingensis,leaf_width,2.5mm,3.5mm,
368,Carex_dailingensis,plant_height,35cm,58cm,tall
369,Carex_damiaoshanensis,inflorescence_size,8mm;4mm,12mm;7mm,
370,Carex_damiaoshanensis,leaf_width,2cm,5cm,
371,Carex_damiaoshanensis,nutlet_size,2mm,2.5mm,
372,Carex_damiaoshanensis,plant_height,25cm,40cm,
373,Carex_davidii,inflorescence_length,12mm;12mm,40mm;40mm,
374,Carex_davidii,inflorescence_width,3mm;3mm,5mm;6mm,
375,Carex_davidii,leaf_width,2mm,5mm,
376,Carex_davidii,plant_height,20cm,65cm,tall;slender
377,Carex_dayuongensis,inflorescence_size,3.5cm;2.5mm,4.5cm;3mm,
378,Carex_dayuongensis,leaf_width,1mm,2mm,
379,Carex_dayuongensis,nutlet_size,2.5mm,2.8mm,
380,Carex_dayuongensis,plant_height,20cm,30cm,tall;1
381,Carex_deciduisquama,inflorescence_size,1cm;1cm,2cm;3cm,
382,Carex_deciduisquama,leaf_width,5mm,7mm,
383,Carex_deciduisquama,plant_height,0m,1m,high;3
384,Carex_delavayi,inflorescence_size,8mm;6mm,20mm;10mm,small
385,Carex_delavayi,leaf_width,3mm,5mm,
386,Carex_delavayi,plant_height,10cm,30cm,tall
387,Carex_densicaespitosa,inflorescence_length,2.5cm,3cm,shorter than female part
388,Carex_densicaespitosa,plant_height,20cm,55cm,tall;slender
389,Carex_densifimbriata,inflorescence_size,5mm,10mm,
390,Carex_densifimbriata,leaf_width,2.8cm,4.5cm,
391,Carex_densifimbriata,plant_height,30cm,80cm,
