,species_name,coded_property_name,collapsed_data
393,carex_cryptolepis,maximum_fruit_length,1.5mm
394,carex_cryptolepis,maximum_fruit_width,1.2mm
395,carex_cryptolepis,maximum_leaf_width,2.9mm
396,carex_cryptolepis,maximum_plant_height,50cm;50cm
397,carex_cumberlandensis,maximum_fruit_length,2.9mm
398,carex_cumberlandensis,maximum_fruit_width,1.8mm
399,carex_cumberlandensis,maximum_leaf_width,6.1mm
400,carex_cumberlandensis,maximum_plant_height,27cm
401,carex_cumulata,maximum_inflorescence_length,5cm;4cm
402,carex_cumulata,maximum_inflorescence_width,16mm
403,carex_cumulata,maximum_leaf_width,6mm
404,carex_cumulata,maximum_plant_height,80cm
405,carex_curatorum,maximum_fruit_length,2mm
406,carex_curatorum,maximum_fruit_width,1.2mm
407,carex_curatorum,maximum_plant_height,91cm
408,carex_cusickii,maximum_fruit_length,1.6mm
409,carex_cusickii,maximum_fruit_width,1.1mm
410,carex_cusickii,maximum_plant_height,130cm
411,carex_dasycarpa,maximum_plant_height,40cm
412,carex_davisii,maximum_fruit_length,2.7mm
413,carex_davisii,maximum_fruit_width,1.2mm
414,carex_davisii,maximum_leaf_width,8mm;6mm
415,carex_davisii,maximum_plant_height,3mm
416,carex_davyi,maximum_inflorescence_length,1.8cm;3cm
417,carex_davyi,maximum_inflorescence_width,11mm
418,carex_davyi,maximum_leaf_width,3mm
419,carex_davyi,maximum_plant_height,37cm
420,carex_debilis,maximum_fruit_length,2.5mm
421,carex_debilis,maximum_fruit_width,1.5mm
422,carex_debilis,maximum_inflorescence_length,50mm
423,carex_debilis,maximum_leaf_width,7mm;3.5mm
424,carex_decomposita,maximum_fruit_length,1.7mm
425,carex_decomposita,maximum_fruit_width,1mm
426,carex_decomposita,maximum_plant_height,120cm
427,carex_deflexa,maximum_fruit_length,1.6mm
428,carex_deflexa,maximum_fruit_width,1.4mm
429,carex_deflexa,maximum_plant_height,31cm
430,carex_densa,maximum_fruit_length,1.7mm
431,carex_densa,maximum_fruit_width,1.8mm
432,carex_densa,maximum_inflorescence_length,5cm
433,carex_densa,maximum_inflorescence_width,25mm
434,carex_densa,maximum_leaf_width,
435,carex_densa,maximum_plant_height,70cm
436,carex_deweyana,maximum_fruit_width,2.2mm;1.5mm
437,carex_deweyana,maximum_inflorescence_length,56mm
438,carex_deweyana,maximum_leaf_width,4.2mm;4.2mm
439,carex_diandra,maximum_fruit_length,1.7mm
440,carex_diandra,maximum_fruit_width,1mm
441,carex_diandra,maximum_inflorescence_length,6cm;5cm
442,carex_diandra,maximum_inflorescence_width,1.7cm;1.4cm
443,carex_diandra,maximum_plant_height,90cm
444,carex_digitalis,maximum_fruit_length,2.8mm
445,carex_digitalis,maximum_fruit_width,1.6mm
446,carex_digitalis,maximum_inflorescence_length,8.7cm
447,carex_digitalis,maximum_leaf_width,5mm
448,carex_digitalis,maximum_plant_height,52cm
449,carex_diluta,maximum_leaf_width,4.6mm
450,carex_diluta,maximum_plant_height,55cm
451,carex_disperma,maximum_fruit_length,1.75mm
452,carex_disperma,maximum_fruit_width,
453,carex_disperma,maximum_inflorescence_length,2.5cm
454,carex_disperma,maximum_inflorescence_width,5mm
455,carex_disperma,maximum_leaf_width,1.5mm
456,carex_disperma,maximum_plant_height,60cm
457,carex_distans,maximum_leaf_width,4.6mm
458,carex_distans,maximum_plant_height,80cm
459,carex_disticha,maximum_inflorescence_length,7cm
460,carex_disticha,maximum_leaf_width,5.2mm
461,carex_disticha,maximum_plant_height,120cm
462,carex_divisa,maximum_inflorescence_length,3.5cm
463,carex_divisa,maximum_leaf_width,3mm
464,carex_divisa,maximum_plant_height,65cm
465,carex_douglasii,maximum_inflorescence_length,3.5cm
